Elem,Elem Type,Node,,,,,,,,,,,,,,,,,,,
59,Hex20,5,24,25,6,110,91,90,109,229,301,233,228,492,489,490,528,230,303,306,234
60,Hex20,5,6,189,188,110,109,135,136,228,235,663,231,528,529,582,531,230,234,583,585
61,Hex20,42,166,167,43,73,158,157,72,358,640,361,356,452,625,449,447,357,628,626,360
62,Hex20,23,42,43,24,92,73,72,91,299,356,302,298,451,447,448,491,300,357,360,303
63,Hex20,4,23,24,5,111,92,91,110,225,298,229,224,494,491,492,530,226,300,303,230
64,Hex20,4,5,188,187,111,110,136,137,224,231,662,227,530,531,584,533,226,230,585,587
65,Hex20,41,165,166,42,74,159,158,73,355,639,358,353,455,627,452,450,354,630,628,357
66,Hex20,22,41,42,23,93,74,73,92,296,353,299,295,454,450,451,493,297,354,357,300
67,Hex20,3,22,23,4,112,93,92,111,221,295,225,220,496,493,494,532,222,297,300,226
68,Hex20,3,4,187,186,112,111,137,138,220,227,661,223,532,533,586,535,222,226,587,589
69,Hex20,40,164,165,41,75,160,159,74,352,638,355,350,458,629,455,453,351,632,630,354
70,Hex20,21,40,41,22,94,75,74,93,293,350,296,292,457,453,454,495,294,351,354,297
71,Hex20,2,21,22,3,113,94,93,112,217,292,221,216,498,495,496,534,218,294,297,222
72,Hex20,2,3,186,185,113,112,138,139,216,223,660,219,534,535,588,537,218,222,589,591
73,Hex20,39,163,164,40,76,161,160,75,348,636,352,346,461,631,458,456,347,634,632,351
74,Hex20,20,39,40,21,95,76,75,94,289,346,293,288,459,456,457,497,290,347,351,294
75,Hex20,1,20,21,2,114,95,94,113,212,288,217,211,499,497,498,536,213,290,294,218
76,Hex20,1,2,185,184,114,113,139,140,211,219,658,214,536,537,590,539,213,218,591,593
77,Hex20,39,210,182,163,76,117,162,161,349,656,637,348,460,545,633,461,347,546,635,634
78,Hex20,20,209,210,39,95,116,117,76,291,683,349,289,500,543,460,459,290,544,546,347
79,Hex20,1,208,209,20,114,115,116,95,215,682,291,212,538,540,500,499,213,542,544,290
80,Hex20,1,184,203,208,114,140,141,115,214,659,678,215,539,592,541,538,213,593,594,542
