Node,x,y,z,Stress (Pa)
175,0.01,0.195,0,598000000
176,0.01,0.21,0,598000000
177,0.01,0.225,0,597000000
178,0.01,0.24,0,596000000
179,0.01,0.255,0,594000000
180,0.01,0.27,0,591000000
181,0.01,0.285,0,791000000
182,0.01,0,0,1030000000
183,0.01,0.3,0,1030000000
184,0.01,0.015,-0.05,791000000
185,0.01,0.03,-0.05,591000000
186,0.01,0.045,-0.05,594000000
187,0.01,0.06,-0.05,596000000
188,0.01,0.075,-0.05,597000000
189,0.01,0.09,-0.05,598000000
190,0.01,0.105,-0.05,598000000
191,0.01,0.12,-0.05,598000000
192,0.01,0.135,-0.05,598000000
193,0.01,0.15,-0.05,598000000
194,0.01,0.165,-0.05,598000000
195,0.01,0.18,-0.05,598000000
196,0.01,0.195,-0.05,598000000
197,0.01,0.21,-0.05,598000000
198,0.01,0.225,-0.05,597000000
199,0.01,0.24,-0.05,596000000
200,0.01,0.255,-0.05,594000000
201,0.01,0.27,-0.05,591000000
202,0.01,0.285,-0.05,791000000
203,0.01,0,-0.05,1030000000
204,0.01,0.3,-0.05,1030000000
205,0.01,0.3,-0.0375,684000000
206,0.01,0.3,-0.025,293000000
207,0.01,0.3,-0.0125,684000000
208,0.01,0,-0.0375,684000000
209,0.01,0,-0.025,293000000
210,0.01,0,-0.0125,684000000
211,0.01,0.0225,-0.0375,1050000000
212,0.01,0.015,-0.0313,862000000
213,0.005,0.015,-0.0375,53600000
214,0.01,0.015,-0.0438,789000000
215,0.01,0.0075,-0.0375,757000000
216,0.01,0.0375,-0.0375,1220000000
217,0.01,0.03,-0.0313,1140000000
218,0.005,0.03,-0.0375,39500000
219,0.01,0.03,-0.0438,807000000
220,0.01,0.0525,-0.0375,1270000000
221,0.01,0.045,-0.0313,1210000000
222,0.005,0.045,-0.0375,57700000
223,0.01,0.045,-0.0438,842000000
224,0.01,0.0675,-0.0375,1280000000
225,0.01,0.06,-0.0313,1230000000
226,0.005,0.06,-0.0375,61700000
227,0.01,0.06,-0.0438,855000000
228,0.01,0.0825,-0.0375,1290000000
229,0.01,0.075,-0.0313,1240000000
230,0.005,0.075,-0.0375,63400000
231,0.01,0.075,-0.0438,859000000
232,0.01,0.0975,-0.0375,1290000000
233,0.01,0.09,-0.0313,1240000000
234,0.005,0.09,-0.0375,63800000
235,0.01,0.09,-0.0438,860000000
236,0.01,0.1125,-0.0375,1290000000
237,0.01,0.105,-0.0313,1240000000
238,0.005,0.105,-0.0375,64000000
239,0.01,0.105,-0.0438,860000000
240,0.01,0.1275,-0.0375,1290000000
241,0.01,0.12,-0.0313,1240000000
242,0.005,0.12,-0.0375,64000000
243,0.01,0.12,-0.0438,860000000
244,0.01,0.1425,-0.0375,1290000000
245,0.01,0.135,-0.0313,1240000000
246,0.005,0.135,-0.0375,64000000
247,0.01,0.135,-0.0438,860000000
248,0.01,0.1575,-0.0375,1290000000
249,0.01,0.15,-0.0313,1240000000
250,0.005,0.15,-0.0375,64000000
251,0.01,0.15,-0.0438,860000000
252,0.01,0.1725,-0.0375,1290000000
253,0.01,0.165,-0.0313,1240000000
254,0.005,0.165,-0.0375,64000000
255,0.01,0.165,-0.0438,860000000
256,0.01,0.1875,-0.0375,1290000000
257,0.01,0.18,-0.0313,1240000000
258,0.005,0.18,-0.0375,64000000
259,0.01,0.18,-0.0438,860000000
260,0.01,0.2025,-0.0375,1290000000
261,0.01,0.195,-0.0313,1240000000
262,0.005,0.195,-0.0375,64000000
263,0.01,0.195,-0.0438,860000000
264,0.01,0.2175,-0.0375,1290000000
265,0.01,0.21,-0.0313,1240000000
266,0.005,0.21,-0.0375,63800000
267,0.01,0.21,-0.0438,860000000
268,0.01,0.2325,-0.0375,1280000000
269,0.01,0.225,-0.0313,1240000000
270,0.005,0.225,-0.0375,63400000
271,0.01,0.225,-0.0438,859000000
272,0.01,0.2475,-0.0375,1270000000
273,0.01,0.24,-0.0313,1230000000
274,0.005,0.24,-0.0375,61700000
275,0.01,0.24,-0.0438,855000000
276,0.01,0.2625,-0.0375,1220000000
277,0.01,0.255,-0.0313,1210000000
278,0.005,0.255,-0.0375,57700000
279,0.01,0.255,-0.0438,842000000
280,0.01,0.2775,-0.0375,1050000000
281,0.01,0.27,-0.0313,1140000000
282,0.005,0.27,-0.0375,39500000
283,0.01,0.27,-0.0438,807000000
284,0.01,0.285,-0.0313,862000000
285,0.005,0.285,-0.0375,53600000
286,0.01,0.285,-0.0438,789000000
287,0.01,0.2925,-0.0375,757000000
288,0.01,0.0225,-0.025,953000000
289,0.01,0.015,-0.0188,862000000
290,0.005,0.015,-0.025,102000000
291,0.01,0.0075,-0.025,545000000
292,0.01,0.0375,-0.025,1140000000
293,0.01,0.03,-0.0188,1140000000
294,0.005,0.03,-0.025,28200000
295,0.01,0.0525,-0.025,1180000000
296,0.01,0.045,-0.0188,1210000000
297,0.005,0.045,-0.025,5980000
298,0.01,0.0675,-0.025,1190000000
299,0.01,0.06,-0.0188,1230000000
300,0.005,0.06,-0.025,2390000
301,0.01,0.0825,-0.025,1190000000
302,0.01,0.075,-0.0188,1240000000
303,0.005,0.075,-0.025,515000
304,0.01,0.0975,-0.025,1190000000
305,0.01,0.09,-0.0188,1240000000
306,0.005,0.09,-0.025,207000
307,0.01,0.1125,-0.025,1190000000
308,0.01,0.105,-0.0188,1240000000
309,0.005,0.105,-0.025,47871
310,0.01,0.1275,-0.025,1190000000
311,0.01,0.12,-0.0188,1240000000
312,0.005,0.12,-0.025,17974
313,0.01,0.1425,-0.025,1190000000
314,0.01,0.135,-0.0188,1240000000
315,0.005,0.135,-0.025,4022.7
316,0.01,0.1575,-0.025,1190000000
317,0.01,0.15,-0.0188,1240000000
318,0.005,0.15,-0.025,0.000688
319,0.01,0.1725,-0.025,1190000000
320,0.01,0.165,-0.0188,1240000000
321,0.005,0.165,-0.025,4022.7
322,0.01,0.1875,-0.025,1190000000
323,0.01,0.18,-0.0188,1240000000
324,0.005,0.18,-0.025,17974
325,0.01,0.2025,-0.025,1190000000
326,0.01,0.195,-0.0188,1240000000
327,0.005,0.195,-0.025,47871
328,0.01,0.2175,-0.025,1190000000
329,0.01,0.21,-0.0188,1240000000
330,0.005,0.21,-0.025,207000
331,0.01,0.2325,-0.025,1190000000
332,0.01,0.225,-0.0188,1240000000
333,0.005,0.225,-0.025,515000
334,0.01,0.2475,-0.025,1180000000
335,0.01,0.24,-0.0188,1230000000
336,0.005,0.24,-0.025,2390000
337,0.01,0.2625,-0.025,1140000000
338,0.01,0.255,-0.0188,1210000000
339,0.005,0.255,-0.025,5980000
340,0.01,0.2775,-0.025,953000000
341,0.01,0.27,-0.0188,1140000000
342,0.005,0.27,-0.025,28200000
343,0.01,0.285,-0.0188,862000000
344,0.005,0.285,-0.025,102000000
345,0.01,0.2925,-0.025,545000000
346,0.01,0.0225,-0.0125,1050000000
347,0.005,0.015,-0.0125,53600000
348,0.01,0.015,-0.00625,789000000
349,0.01,0.0075,-0.0125,757000000
350,0.01,0.0375,-0.0125,1220000000
351,0.005,0.03,-0.0125,39500000
352,0.01,0.03,-0.00625,807000000
353,0.01,0.0525,-0.0125,1270000000
354,0.005,0.045,-0.0125,57700000
355,0.01,0.045,-0.00625,842000000
356,0.01,0.0675,-0.0125,1280000000
357,0.005,0.06,-0.0125,61700000
358,0.01,0.06,-0.00625,855000000
359,0.01,0.0825,-0.0125,1290000000
360,0.005,0.075,-0.0125,63400000
361,0.01,0.075,-0.00625,859000000
362,0.01,0.0975,-0.0125,1290000000
363,0.005,0.09,-0.0125,63800000
364,0.01,0.09,-0.00625,860000000
365,0.01,0.1125,-0.0125,1290000000
366,0.005,0.105,-0.0125,64000000
367,0.01,0.105,-0.00625,860000000
368,0.01,0.1275,-0.0125,1290000000
369,0.005,0.12,-0.0125,64000000
370,0.01,0.12,-0.00625,860000000
371,0.01,0.1425,-0.0125,1290000000
372,0.005,0.135,-0.0125,64000000
373,0.01,0.135,-0.00625,860000000
374,0.01,0.1575,-0.0125,1290000000
375,0.005,0.15,-0.0125,64000000
376,0.01,0.15,-0.00625,860000000
377,0.01,0.1725,-0.0125,1290000000
378,0.005,0.165,-0.0125,64000000
379,0.01,0.165,-0.00625,860000000
380,0.01,0.1875,-0.0125,1290000000
381,0.005,0.18,-0.0125,64000000
382,0.01,0.18,-0.00625,860000000
383,0.01,0.2025,-0.0125,1290000000
384,0.005,0.195,-0.0125,64000000
385,0.01,0.195,-0.00625,860000000
386,0.01,0.2175,-0.0125,1290000000
387,0.005,0.21,-0.0125,63800000
388,0.01,0.21,-0.00625,860000000
389,0.01,0.2325,-0.0125,1280000000
390,0.005,0.225,-0.0125,63400000
391,0.01,0.225,-0.00625,859000000
392,0.01,0.2475,-0.0125,1270000000
393,0.005,0.24,-0.0125,61700000
394,0.01,0.24,-0.00625,855000000
395,0.01,0.2625,-0.0125,1220000000
396,0.005,0.255,-0.0125,57700000
397,0.01,0.255,-0.00625,842000000
398,0.01,0.2775,-0.0125,1050000000
399,0.005,0.27,-0.0125,39500000
400,0.01,0.27,-0.00625,807000000
401,0.005,0.285,-0.0125,53600000
