ODB Name,Step,Frame,Part Instance Name, Element Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,10,-13.1525,-4.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",20.7124
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,10,-13.1525,-4.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",115.554
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,11,-13.1525,-3.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",18.227
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,11,-13.1525,-3.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.204
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,12,-13.1525,-3.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",15.7353
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,12,-13.1525,-3.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.05
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,13,-13.1525,-2.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.371
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,13,-13.1525,-2.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",13.2677
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,14,-13.1525,-2.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",10.8459
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,14,-13.1525,-2.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.37
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,15,-13.1525,-1.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",8.48521
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,15,-13.1525,-1.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.208
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,16,-13.1525,-1.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",6.20881
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,16,-13.1525,-1.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.994
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,17,-13.1525,-0.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.81
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,17,-13.1525,-0.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",4.08189
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,18,-13.1525,-0.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",2.41946
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,18,-13.1525,-0.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.706
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,19,-13.1525,0.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",2.41946
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,19,-13.1525,0.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.706
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,20,-13.1525,0.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",4.08189
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,20,-13.1525,0.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.81
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,21,-13.1525,1.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",6.20881
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,21,-13.1525,1.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",117.994
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,22,-13.1525,1.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.208
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,22,-13.1525,1.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",8.48521
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,23,-13.1525,2.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",10.8459
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,23,-13.1525,2.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.37
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,24,-13.1525,2.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",13.2677
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,24,-13.1525,2.75,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SNEG, (fraction = -1.0)",118.371
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,25,-13.1525,3.25,12.2861,ASSEMBLY_SHELL-1_ALLEL,TI,"shell < TI > < 5 section points > : SPOS, (fraction = 1.0)",15.7353
